modelo,f1_base,f1_optimizado,mejora,mejor_score_cv
Random Forest,0.6271,0.6537,0.026599999999999957,0.580723709647086
Gradient Boosting,0.6225,0.6287,0.006199999999999983,0.5922809686529144
